Group num: 0, TC(X;Y_j): 7.701
blanchedalmond_2, 0.000
yellow_9, 0.000
hotpink_10, 0.000
mediumspringgreen_0, 0.000
blanchedalmond_0, 0.000
darkslategrey_6, 0.000
darkolivegreen_6, 0.000
indianred_11, 0.000
papayawhip_1, 0.000
darkseagreen_3, 0.000
hotpink_7, 0.000
red_11, 0.000
dimgray_1, 0.000
palegreen_0, 0.000
mistyrose_4, 0.000
darkolivegreen_0, 0.000
yellow_8, 0.000
indianred_9, 0.000
green_10, 0.000
red_5, 0.000
hotpink_1, 0.000
indianred_1, 0.000
hotpink_8, 0.000
palegreen_6, 0.000
darkseagreen_8, 0.000
mistyrose_1, 0.000
springgreen_0, 0.000
green_7, 0.000
blanchedalmond_1, 0.000
black_5, 0.000
black_3, 0.000
darkolivegreen_4, 0.000
greenyellow_1, 0.000
darkslategrey_4, 0.000
black_7, 0.000
darkolivegreen_9, 0.000
red_0, 0.000
darkseagreen_7, 0.000
darkolivegreen_8, 0.000
springgreen_1, 0.000
pink_8, 0.000
peachpuff_0, 0.000
hotpink_6, 0.000
yellow_3, 0.000
green_6, 0.000
indigo_4, 0.000
black_6, 0.000
orangered_6, 0.000
darkseagreen_4, 0.000
green_1, 0.000
hotpink_4, 0.000
firebrick_11, 0.000
black_12, 0.000
greenyellow_0, 0.000
mediumspringgreen_2, 0.000
palegreen_4, 0.000
green_2, 0.000
papayawhip_3, 0.000
green_11, 0.000
burlywood_1, 0.000
red_10, 0.000
green_9, 0.000
darkseagreen_1, 0.000
seashell_2, 0.000
darkolivegreen_1, 0.000
palegreen_7, 0.000
darkseagreen_5, 0.000
darkseagreen_9, 0.000
indigo_7, 0.000
hotpink_9, 0.000
greenyellow_3, 0.000
lightcoral_8, 0.000
Y0, 0.000
Y2, 0.000
darkseagreen_6, 0.000
Y1, 0.000
Group num: 4, TC(X;Y_j): 7.544
red_6, 1.613
red_0, 1.606
red_14, 0.986
red_7, 0.974
red_8, 0.909
red_11, 0.708
red_1, 0.656
red_9, 0.642
red_5, 0.539
red_12, 0.274
red_3, 0.256
red_2, 0.254
red_4, 0.039
red_13, 0.025
red_10, 0.009
darkslategrey_7, 0.008
orangered_1, 0.007
green_10, 0.006
greenyellow_5, 0.006
greenyellow_4, 0.005
greenyellow_0, 0.005
indigo_3, 0.005
greenyellow_3, 0.004
indigo_6, 0.004
darkseagreen_4, 0.004
black_14, 0.004
yellow_12, 0.004
blue_9, 0.004
chartreuse_3, 0.004
indianred_3, 0.004
indigo_1, 0.003
lightcoral_5, 0.003
blue_12, 0.003
lightcoral_0, 0.003
blue_6, 0.003
greenyellow_2, 0.003
indigo_8, 0.003
mediumspringgreen_4, 0.003
indianred_1, 0.003
orangered_5, 0.003
black_9, 0.003
yellow_7, 0.003
darkolivegreen_10, 0.003
gold_12, 0.003
yellow_2, 0.003
blue_7, 0.003
mistyrose_7, 0.003
mistyrose_6, 0.003
blue_11, 0.002
blue_8, 0.002
mistyrose_0, 0.002
lightcoral_2, 0.002
darkseagreen_6, 0.002
blue_2, 0.002
darkolivegreen_6, 0.002
indigo_0, 0.002
chartreuse_2, 0.002
pink_9, 0.002
green_12, 0.002
green_14, 0.002
mediumspringgreen_0, 0.002
firebrick_11, 0.002
palegreen_3, 0.002
tomato_8, 0.002
indianred_5, 0.002
chartreuse_1, 0.002
lightcoral_6, 0.002
gold_8, 0.002
green_4, 0.001
seashell_4, 0.001
palegreen_6, 0.001
blue_0, 0.001
gold_6, 0.001
lightcoral_4, 0.001
palegreen_7, 0.001
lightcoral_8, 0.001
firebrick_4, 0.001
darkolivegreen_7, 0.001
seashell_5, 0.001
mistyrose_1, 0.001
black_4, 0.001
blanchedalmond_1, 0.001
yellow_4, 0.001
green_8, 0.001
gold_1, 0.001
green_9, 0.001
aquamarine_0, 0.001
pink_2, 0.001
lightcoral_3, 0.001
mistyrose_3, 0.001
black_10, 0.001
pink_0, 0.001
orangered_7, 0.001
pink_3, 0.001
hotpink_1, 0.001
pink_5, 0.001
mistyrose_4, 0.001
peachpuff_0, 0.001
palegreen_2, 0.001
palegreen_1, 0.001
firebrick_10, 0.001
yellow_5, 0.001
hotpink_0, 0.001
blanchedalmond_3, 0.001
darkseagreen_0, 0.001
mistyrose_9, 0.001
burlywood_3, 0.001
gold_4, 0.001
palegreen_0, 0.001
green_6, 0.001
orangered_0, 0.001
burlywood_4, 0.001
hotpink_6, 0.001
green_11, 0.001
hotpink_10, 0.001
blanchedalmond_2, 0.001
